ORI Code,Origin,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,Afghanistan,,,,,,,,,,,,,,,,,,,,500000,1734921,3879984,4488214,4712735,4417651,4653193,5094283,5511740,5622982,5643989,6339095,6306301,4552153,3374576,2731169,2679133,2674236,2676674,2667115,2601691,3587336,3809767,2510294,2136043,2414401,2166149,2107519,3057661,2833128,2887123,3054709,2664436,2586152,2556556
ALB,Albania,,,,,100,4860,4860,4260,4120,4290,4310,390,2300,2090,380,380,,2000,1980,1610,1681,1680,1645,1610,1576,1587,90,129,358,367,1822,3540,4353,4744,5019,5803,5785,5379,5353,6288,6802,7626,10761,10385,10470,12722,14080,15340,15006,15711,14772,13551,12568,10084
ALG,Algeria,,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,3,1,1,5,6,19,55,71,86,20743,1520,2247,3418,5727,7151,8034,8418,12107,11667,10691,12041,8353,10615,9060,8185,6689,6121,5677,3662
AND,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,1,2,3,2,1,10,10,3,9,10,9,6,6,6,6,7,5
ANG,Angola,150000,150000,170000,175000,200000,220000,303800,356200,381360,408190,414120,419690,421500,426550,497390,501830,499190,529830,646110,652980,449030,457060,465891,298110,357821,317392,355412,391733,407566,408692,407760,381636,300492,323831,282577,246657,249687,267696,319430,353478,433760,470625,435421,329583,228838,215827,206501,186155,171393,141021,134858,128664,19258,10297
ANT,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,4,5,5,13,13,19,25,26,28,30,32,45,49
ARG,Argentina,,,,,,,,,,,,,,,,,,,,,38,38,1019,42,42,51,52,47,46,103,334,198,113,98,469,330,217,159,142,586,609,659,771,784,796,856,894,1171,1047,608,557,518,447,388
ARM,Armenia,,,,,170,,,,200,200,200,4070,3500,,,,,440,420,700,333,333,733,333,333,333,528,208,301,1,1,1,195003,200116,201842,201442,203231,203690,193150,193231,5786,7207,13249,13162,13424,13965,14918,15436,16336,18000,17547,16487,15935,12021
AUL,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,3,3,1,10,15,13,44,29,63,43,28,37,39,48,28
AUS,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,49,52,55,60,48,35,29,72,66,47,66,34,23,14,12,10,11,12,10
